id,good_ingredients,bad_ingredients
338,"['glycerin', 'ethylhexyl glycerin']",[]
339,[],[]
340,"['glycerin', 'allantoin']",[]
341,[],[]
342,['glycerin'],[]
343,"['glycerin', 'ethylhexyl glycerin']",[]
344,[],[]
345,"['niacinamide', 'diglycerin', 'ethylhexyl glycerin', 'glycerin', 'allantoin', 'sodium hyaluronate']",[]
346,"['glycerin', 'sodium hyaluronate']",[]
347,"['glycerin', 'tocopherol']",[]
348,"['glycerin', 'ethylhexyl glycerin']",[]
349,"['glycerin', 'ethylhexyl glycerin']",[]
350,['tocopherol'],['benzophenone-3']
351,['glycerin'],[]
352,['glycerin'],['dipropylene glycol']
353,"['glycerin', 'ethylhexyl glycerin']",[]
354,"['glycerin', 'niacinamide', 'yeast amino acids']",[]
355,"['centella asiatica extract', 'ethylhexyl glycerin']",[]
356,['glycerin'],[]
357,"['glycerin', 'panthenol', 'sodium hyaluronate', 'titanium dioxide']",['propylene glycol']
358,['glycerin'],['propylene glycol']
359,"['glycerin', 'centella asiatica extract', 'ethylhexyl glycerin']",['dipropylene glycol']
360,"['glycerin', 'hydrolyzed sodium hyaluronate', 'tocopherol']",[]
361,['ethylhexyl glycerin'],[]
362,"['panthenol', 'glycerin']",['propylene glycol']
363,['glycerin'],['propylene glycol']
364,"['glycerin', 'ethylhexyl glycerin']",[]
365,"['glycerin', 'ethylhexyl glycerin']",[]
366,"['zinc oxide', 'titanium dioxide', 'tocopherol', 'capryloyl glycerin/sebacic acid copolymer']",[]
367,"['glycerin', 'sodium hyaluronate', 'centella asiatica extract', 'ethylhexyl glycerin']",[]
368,"['glycerin', 'panthenol', 'allantoin', 'ethylhexyl glycerin', 'sodium hyaluronate']",[]
369,"['panthenol', 'sodium hyaluronate']",[]
370,[],['propylene glycol']
371,['glycerin'],[]
372,[],[]
373,['sodium hyaluronate'],[]
374,"['ethylhexyl glycerin', 'glycerin', 'sodium hyaluronate']",[]
375,"['glycerin', 'ethylhexyl glycerin']",[]
376,['glycerin'],[]
377,"['glycerin', 'allantoin', 'niacinamide']",[]
378,"['glycerin', 'tocopherol', 'sodium hyaluronate']",[]
379,"['glycerin', 'sodium hyaluronate']",[]
380,['glycerin'],[]
381,"['glycerin', 'ethylhexyl glycerin']",[]
382,"['glycerin', 'ethylhexyl glycerin', 'allantoin']",['propylene glycol']
383,['glycerin'],[]
384,['ethylhexyl glycerin'],[]
385,['tocopherol'],[]
386,"['tocopherol', 'allantoin']",[]
